devEUI,deviceName,timestamp,fCnt,gatewayID,loRaSNR,rssi,frequency,dr,latitude,longitude,altitude,battery,humidity,pressure,temperature,gas_resistance,acc_x,acc_y,acc_z
ac1f09fffe044ddc,RAK5205-1,1621017473,183,ac1f09fffe0468cf,9,-59,868100000,5,47.8928,1.8948,126.5,4.21,55.5,1000.7,17.6,30.64,-0.025,0.965,-0.029
ac1f09fffe044ddc,RAK5205-1,1621017546,184,ac1f09fffe0468cf,8,-58,867900000,5,47.8924,1.8949,104.8,3.82,55.5,1000.8,17.7,28.75,-0.029,0.968,-0.026
ac1f09fffe044ddc,RAK5205-1,1621017654,186,ac1f09fffe0468cf,10.8,-58,867700000,5,47.8923,1.8947,111,3.81,55.5,1000.7,17.7,29.31,-0.028,0.969,-0.025
ac1f09fffe044ddc,RAK5205-1,1621017704,187,ac1f09fffe0468cf,10.3,-58,867900000,5,47.8934,1.8945,167690.86,3.81,55.5,1000.7,17.7,29.75,-0.026,0.975,-0.029
ac1f09fffe044ddc,RAK5205-1,1621017755,188,ac1f09fffe0468cf,9.8,-58,868100000,5,47.8924,1.8948,112.5,4.21,55.5,1000.7,17.7,29.58,-0.028,0.969,-0.02
ac1f09fffe044ddc,RAK5205-1,1621017803,189,ac1f09fffe0468cf,9.5,-55,868300000,5,47.8926,1.895,97,3.81,56,1000.7,17.7,30.03,-0.024,0.967,-0.02
ac1f09fffe044ddc,RAK5205-1,1621017845,190,ac1f09fffe0468cf,7.8,-56,868500000,5,47.8925,1.8949,95,3.81,56,1000.7,17.6,30.95,-0.023,0.97,-0.023
ac1f09fffe044ddc,RAK5205-1,1621017959,192,ac1f09fffe0468cf,9.5,-59,867700000,5,47.8924,1.895,127.2,3.82,55.5,1000.7,17.7,29.58,-0.032,0.967,-0.027
ac1f09fffe044ddc,RAK5205-1,1621017995,193,ac1f09fffe0468cf,10.3,-58,868100000,5,47.8924,1.8949,101.6,3.82,56,1000.7,17.7,31.37,-0.028,0.97,-0.031
ac1f09fffe044ddc,RAK5205-1,1621018049,194,ac1f09fffe0468cf,10,-55,868300000,5,47.8922,1.895,82.5,3.81,56,1000.7,17.6,30.22,-0.026,0.968,-0.02
ac1f09fffe044ddc,RAK5205-1,1621018085,195,ac1f09fffe0468cf,9.3,-56,868300000,5,47.8924,1.8948,103.5,3.81,56,1000.7,17.6,31.92,-0.03,0.967,-0.033
ac1f09fffe044ddc,RAK5205-1,1621018139,196,ac1f09fffe0468cf,9.8,-57,868100000,5,47.8924,1.8948,113.4,3.82,56,1000.7,17.6,30.59,-0.024,0.969,-0.025
ac1f09fffe044ddc,RAK5205-1,1621018194,197,ac1f09fffe0468cf,7,-57,867500000,5,47.8925,1.8949,114.1,3.81,56,1000.7,17.6,30.01,-0.024,0.969,-0.017
ac1f09fffe044ddc,RAK5205-1,1621018238,198,ac1f09fffe0468cf,10,-59,867900000,5,47.8923,1.8946,126.6,3.81,56,1000.7,17.7,30.68,-0.026,0.967,-0.026
ac1f09fffe044ddc,RAK5205-1,1621018289,199,ac1f09fffe0468cf,8.3,-57,868500000,5,47.8924,1.8948,108.5,4.21,56,1000.7,17.6,30.35,-0.027,0.968,-0.033
ac1f09fffe044ddc,RAK5205-1,1621018329,200,ac1f09fffe0468cf,10,-56,868300000,5,47.8923,1.8947,123.8,3.81,56,1000.7,17.6,31.3,-0.026,0.965,-0.018
ac1f09fffe044ddc,RAK5205-1,1621018382,201,ac1f09fffe0468cf,6.8,-56,867500000,5,47.8923,1.8946,125.2,4.21,56,1000.7,17.6,30.44,-0.028,0.968,-0.026
ac1f09fffe044ddc,RAK5205-1,1621018433,202,ac1f09fffe0468cf,9.5,-57,868300000,5,47.8924,1.8949,106.8,3.81,56,1000.7,17.6,30.16,-0.024,0.969,-0.031
ac1f09fffe044ddc,RAK5205-1,1621018538,204,ac1f09fffe0468cf,8.8,-57,867700000,5,47.8921,1.8946,125,3.81,56,1000.7,17.6,29.25,-0.03,0.972,-0.028
ac1f09fffe044ddc,RAK5205-1,1621018589,205,ac1f09fffe0468cf,10,-56,868300000,5,47.8924,1.8948,112.4,4.21,56,1000.7,17.6,29.44,-0.03,0.968,-0.027
ac1f09fffe044ddc,RAK5205-1,1621018625,206,ac1f09fffe0468cf,9.8,-59,867900000,5,47.8924,1.8948,119.4,4.21,56.5,1000.7,17.6,31.25,-0.028,0.973,-0.028
ac1f09fffe044ddc,RAK5205-1,1621018673,207,ac1f09fffe0468cf,8.3,-55,868500000,5,47.8924,1.8948,114.3,3.81,56.5,1000.7,17.6,30.93,-0.023,0.97,-0.022
ac1f09fffe044ddc,RAK5205-1,1621018715,208,ac1f09fffe0468cf,7.8,-57,868500000,5,47.8924,1.8949,117.6,3.81,56.5,1000.7,17.6,31.23,-0.026,0.968,-0.006
ac1f09fffe044ddc,RAK5205-1,1621018763,209,ac1f09fffe0468cf,9.8,-55,868300000,5,47.8923,1.8948,127.9,3.81,56.5,1000.7,17.5,30.84,-0.03,0.967,-0.016
ac1f09fffe044ddc,RAK5205-1,1621018805,210,ac1f09fffe0468cf,7.3,-57,867500000,5,47.8923,1.8947,117,4.21,56.5,1000.7,17.6,31.44,-0.025,0.969,-0.021
ac1f09fffe044ddc,RAK5205-1,1621018859,211,ac1f09fffe0468cf,6,-57,867500000,5,47.8924,1.8948,98.4,3.81,56.5,1000.8,17.6,30.24,-0.028,0.972,-0.021
ac1f09fffe044ddc,RAK5205-1,1621018895,212,ac1f09fffe0468cf,9.8,-58,868100000,5,47.8923,1.8946,118.2,3.81,56.5,1000.7,17.6,31.85,-0.028,0.969,-0.018
ac1f09fffe044ddc,RAK5205-1,1621018949,213,ac1f09fffe0468cf,10,-56,868300000,5,47.8924,1.8948,110.9,3.81,56.5,1000.7,17.6,30.89,-0.027,0.965,-0.022
ac1f09fffe044ddc,RAK5205-1,1621018985,214,ac1f09fffe0468cf,10.5,-56,868300000,5,47.8925,1.8949,102.7,3.81,56.5,1000.7,17.6,32.33,-0.025,0.965,-0.031
ac1f09fffe044ddc,RAK5205-1,1621019039,215,ac1f09fffe0468cf,10.3,-59,868100000,5,47.8924,1.8949,113.9,3.81,56.5,1000.7,17.5,30.8,-0.026,0.966,-0.02
ac1f09fffe044ddc,RAK5205-1,1621019075,216,ac1f09fffe0468cf,7.5,-58,867500000,5,47.8924,1.8946,117.5,3.81,57,1000.7,17.5,32.33,-0.027,0.97,-0.022
ac1f09fffe044ddc,RAK5205-1,1621019123,217,ac1f09fffe0468cf,9.3,-58,867700000,5,47.8925,1.8945,125.7,3.82,56.5,1000.7,17.5,31.44,-0.027,0.971,-0.028
ac1f09fffe044ddc,RAK5205-1,1621019165,218,ac1f09fffe0468cf,8.8,-54,868500000,5,47.8924,1.8943,147.2,3.81,57,1000.7,17.5,31.89,-0.028,0.969,-0.017
ac1f09fffe044ddc,RAK5205-1,1621019215,219,ac1f09fffe0468cf,7.5,-58,867500000,5,47.8922,1.8947,123.9,4.21,56.5,1000.7,17.5,31.09,-0.025,0.973,-0.018
ac1f09fffe044ddc,RAK5205-1,1621019255,220,ac1f09fffe0468cf,9.8,-57,868300000,5,47.8923,1.8947,123,3.82,57,1000.8,17.5,31.8,-0.028,0.97,-0.027
ac1f09fffe044ddc,RAK5205-1,1621019303,221,ac1f09fffe0468cf,10.8,-56,868300000,5,47.8925,1.8945,124.6,4.21,57,1000.7,17.5,31,-0.025,0.972,-0.027
ac1f09fffe044ddc,RAK5205-1,1621019345,222,ac1f09fffe0468cf,10.8,-57,868300000,5,47.8924,1.8948,117.6,3.81,57,1000.8,17.5,31.28,-0.028,0.969,-0.023
ac1f09fffe044ddc,RAK5205-1,1621019393,223,ac1f09fffe0468cf,7.5,-56,868500000,5,47.8924,1.8945,125.6,3.66,57,1000.8,17.5,30.93,-0.026,0.968,-0.033
ac1f09fffe044ddc,RAK5205-1,1621019435,224,ac1f09fffe0468cf,8.8,-57,867900000,5,47.8924,1.8949,110.3,4.21,57,1000.7,17.4,31.58,-0.03,0.971,-0.025
ac1f09fffe044ddc,RAK5205-1,1621019489,225,ac1f09fffe0468cf,10,-59,867900000,5,47.8925,1.895,92,4.21,57,1000.8,17.4,30.46,-0.025,0.972,-0.022
ac1f09fffe044ddc,RAK5205-1,1621019544,226,ac1f09fffe0468cf,10.5,-57,868300000,5,47.8924,1.8948,117.2,4.21,57,1000.8,17.5,30.16,-0.029,0.967,-0.025
ac1f09fffe044ddc,RAK5205-1,1621019585,227,ac1f09fffe0468cf,8.3,-55,868500000,5,47.8923,1.8947,119,3.81,57,1000.8,17.5,31.09,-0.028,0.966,-0.025
